combo,results_dir,accuracy,best_model,final_model,error,accuracy_disp
A,/home/vpopescu/projects/ASVspoof/results/combo_A,0.823338,/home/vpopescu/projects/ASVspoof/results/combo_A/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_A/final_model.keras,,0.823338
AH,/home/vpopescu/projects/ASVspoof/results/combo_AH,0.821446,/home/vpopescu/projects/ASVspoof/results/combo_AH/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AH/final_model.keras,,0.821446
AHK,/home/vpopescu/projects/ASVspoof/results/combo_AHK,0.813677,/home/vpopescu/projects/ASVspoof/results/combo_AHK/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHK/final_model.keras,,0.813677
AHKL,/home/vpopescu/projects/ASVspoof/results/combo_AHKL,0.822251,/home/vpopescu/projects/ASVspoof/results/combo_AHKL/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKL/final_model.keras,,0.822251
AHKLM,/home/vpopescu/projects/ASVspoof/results/combo_AHKLM,0.959467,/home/vpopescu/projects/ASVspoof/results/combo_AHKLM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKLM/final_model.keras,,0.959467
AHKLMN,/home/vpopescu/projects/ASVspoof/results/combo_AHKLMN,0.964015,/home/vpopescu/projects/ASVspoof/results/combo_AHKLMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKLMN/final_model.keras,,0.964015
AHKLMNO,/home/vpopescu/projects/ASVspoof/results/combo_AHKLMNO,0.96788,/home/vpopescu/projects/ASVspoof/results/combo_AHKLMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKLMNO/final_model.keras,,0.96788
AHKLMO,/home/vpopescu/projects/ASVspoof/results/combo_AHKLMO,0.96639,/home/vpopescu/projects/ASVspoof/results/combo_AHKLMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKLMO/final_model.keras,,0.96639
AHKLN,/home/vpopescu/projects/ASVspoof/results/combo_AHKLN,0.822653,/home/vpopescu/projects/ASVspoof/results/combo_AHKLN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKLN/final_model.keras,,0.822653
AHKLNO,/home/vpopescu/projects/ASVspoof/results/combo_AHKLNO,0.827564,/home/vpopescu/projects/ASVspoof/results/combo_AHKLNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKLNO/final_model.keras,,0.827564
AHKLO,/home/vpopescu/projects/ASVspoof/results/combo_AHKLO,0.808847,/home/vpopescu/projects/ASVspoof/results/combo_AHKLO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKLO/final_model.keras,,0.808847
AHKM,/home/vpopescu/projects/ASVspoof/results/combo_AHKM,0.966914,/home/vpopescu/projects/ASVspoof/results/combo_AHKM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKM/final_model.keras,,0.966914
AHKMN,/home/vpopescu/projects/ASVspoof/results/combo_AHKMN,0.958421,/home/vpopescu/projects/ASVspoof/results/combo_AHKMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKMN/final_model.keras,,0.958421
AHKMNO,/home/vpopescu/projects/ASVspoof/results/combo_AHKMNO,0.972951,/home/vpopescu/projects/ASVspoof/results/combo_AHKMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKMNO/final_model.keras,,0.972951
AHKMO,/home/vpopescu/projects/ASVspoof/results/combo_AHKMO,0.955039,/home/vpopescu/projects/ASVspoof/results/combo_AHKMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKMO/final_model.keras,,0.955039
AHKN,/home/vpopescu/projects/ASVspoof/results/combo_AHKN,0.82052,/home/vpopescu/projects/ASVspoof/results/combo_AHKN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKN/final_model.keras,,0.82052
AHKNO,/home/vpopescu/projects/ASVspoof/results/combo_AHKNO,0.809089,/home/vpopescu/projects/ASVspoof/results/combo_AHKNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKNO/final_model.keras,,0.809089
AHKO,/home/vpopescu/projects/ASVspoof/results/combo_AHKO,0.820802,/home/vpopescu/projects/ASVspoof/results/combo_AHKO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHKO/final_model.keras,,0.820802
AHL,/home/vpopescu/projects/ASVspoof/results/combo_AHL,0.82857,/home/vpopescu/projects/ASVspoof/results/combo_AHL/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHL/final_model.keras,,0.82857
AHLM,/home/vpopescu/projects/ASVspoof/results/combo_AHLM,0.957897,/home/vpopescu/projects/ASVspoof/results/combo_AHLM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHLM/final_model.keras,,0.957897
AHLMN,/home/vpopescu/projects/ASVspoof/results/combo_AHLMN,0.965505,/home/vpopescu/projects/ASVspoof/results/combo_AHLMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHLMN/final_model.keras,,0.965505
AHLMNO,/home/vpopescu/projects/ASVspoof/results/combo_AHLMNO,0.972508,/home/vpopescu/projects/ASVspoof/results/combo_AHLMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHLMNO/final_model.keras,,0.972508
AHLMO,/home/vpopescu/projects/ASVspoof/results/combo_AHLMO,0.96639,/home/vpopescu/projects/ASVspoof/results/combo_AHLMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHLMO/final_model.keras,,0.96639
AHLN,/home/vpopescu/projects/ASVspoof/results/combo_AHLN,0.826276,/home/vpopescu/projects/ASVspoof/results/combo_AHLN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHLN/final_model.keras,,0.826276
AHLNO,/home/vpopescu/projects/ASVspoof/results/combo_AHLNO,0.812872,/home/vpopescu/projects/ASVspoof/results/combo_AHLNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHLNO/final_model.keras,,0.812872
AHLO,/home/vpopescu/projects/ASVspoof/results/combo_AHLO,0.816736,/home/vpopescu/projects/ASVspoof/results/combo_AHLO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHLO/final_model.keras,,0.816736
AHM,/home/vpopescu/projects/ASVspoof/results/combo_AHM,0.968644,/home/vpopescu/projects/ASVspoof/results/combo_AHM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHM/final_model.keras,,0.968644
AHMN,/home/vpopescu/projects/ASVspoof/results/combo_AHMN,0.958099,/home/vpopescu/projects/ASVspoof/results/combo_AHMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHMN/final_model.keras,,0.958099
AHMNO,/home/vpopescu/projects/ASVspoof/results/combo_AHMNO,0.955804,/home/vpopescu/projects/ASVspoof/results/combo_AHMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHMNO/final_model.keras,,0.955804
AHMO,/home/vpopescu/projects/ASVspoof/results/combo_AHMO,0.969691,/home/vpopescu/projects/ASVspoof/results/combo_AHMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHMO/final_model.keras,,0.969691
AHN,/home/vpopescu/projects/ASVspoof/results/combo_AHN,0.829013,/home/vpopescu/projects/ASVspoof/results/combo_AHN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHN/final_model.keras,,0.829013
AHNO,/home/vpopescu/projects/ASVspoof/results/combo_AHNO,0.812349,/home/vpopescu/projects/ASVspoof/results/combo_AHNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHNO/final_model.keras,,0.812349
AHO,/home/vpopescu/projects/ASVspoof/results/combo_AHO,0.812027,/home/vpopescu/projects/ASVspoof/results/combo_AHO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AHO/final_model.keras,,0.812027
AK,/home/vpopescu/projects/ASVspoof/results/combo_AK,0.824263,/home/vpopescu/projects/ASVspoof/results/combo_AK/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AK/final_model.keras,,0.824263
AKL,/home/vpopescu/projects/ASVspoof/results/combo_AKL,0.828651,/home/vpopescu/projects/ASVspoof/results/combo_AKL/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKL/final_model.keras,,0.828651
AKLM,/home/vpopescu/projects/ASVspoof/results/combo_AKLM,0.96478,/home/vpopescu/projects/ASVspoof/results/combo_AKLM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKLM/final_model.keras,,0.96478
AKLMN,/home/vpopescu/projects/ASVspoof/results/combo_AKLMN,0.956569,/home/vpopescu/projects/ASVspoof/results/combo_AKLMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKLMN/final_model.keras,,0.956569
AKLMNO,/home/vpopescu/projects/ASVspoof/results/combo_AKLMNO,0.959226,/home/vpopescu/projects/ASVspoof/results/combo_AKLMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKLMNO/final_model.keras,,0.959226
AKLMO,/home/vpopescu/projects/ASVspoof/results/combo_AKLMO,0.943648,/home/vpopescu/projects/ASVspoof/results/combo_AKLMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKLMO/final_model.keras,,0.943648
AKLN,/home/vpopescu/projects/ASVspoof/results/combo_AKLN,0.832434,/home/vpopescu/projects/ASVspoof/results/combo_AKLN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKLN/final_model.keras,,0.832434
AKLNO,/home/vpopescu/projects/ASVspoof/results/combo_AKLNO,0.824102,/home/vpopescu/projects/ASVspoof/results/combo_AKLNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKLNO/final_model.keras,,0.824102
AKLO,/home/vpopescu/projects/ASVspoof/results/combo_AKLO,0.829053,/home/vpopescu/projects/ASVspoof/results/combo_AKLO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKLO/final_model.keras,,0.829053
AKM,/home/vpopescu/projects/ASVspoof/results/combo_AKM,0.965787,/home/vpopescu/projects/ASVspoof/results/combo_AKM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKM/final_model.keras,,0.965787
AKMN,/home/vpopescu/projects/ASVspoof/results/combo_AKMN,0.957535,/home/vpopescu/projects/ASVspoof/results/combo_AKMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKMN/final_model.keras,,0.957535
AKMNO,/home/vpopescu/projects/ASVspoof/results/combo_AKMNO,0.951779,/home/vpopescu/projects/ASVspoof/results/combo_AKMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKMNO/final_model.keras,,0.951779
AKMO,/home/vpopescu/projects/ASVspoof/results/combo_AKMO,0.968765,/home/vpopescu/projects/ASVspoof/results/combo_AKMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKMO/final_model.keras,,0.968765
AKN,/home/vpopescu/projects/ASVspoof/results/combo_AKN,0.818065,/home/vpopescu/projects/ASVspoof/results/combo_AKN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKN/final_model.keras,,0.818065
AKNO,/home/vpopescu/projects/ASVspoof/results/combo_AKNO,0.809048,/home/vpopescu/projects/ASVspoof/results/combo_AKNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKNO/final_model.keras,,0.809048
AKO,/home/vpopescu/projects/ASVspoof/results/combo_AKO,0.812027,/home/vpopescu/projects/ASVspoof/results/combo_AKO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKO/final_model.keras,,0.812027
AL,/home/vpopescu/projects/ASVspoof/results/combo_AL,0.827483,/home/vpopescu/projects/ASVspoof/results/combo_AL/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AL/final_model.keras,,0.827483
ALM,/home/vpopescu/projects/ASVspoof/results/combo_ALM,0.964176,/home/vpopescu/projects/ASVspoof/results/combo_ALM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALM/final_model.keras,,0.964176
ALMN,/home/vpopescu/projects/ASVspoof/results/combo_ALMN,0.968081,/home/vpopescu/projects/ASVspoof/results/combo_ALMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALMN/final_model.keras,,0.968081
ALMNO,/home/vpopescu/projects/ASVspoof/results/combo_ALMNO,0.962929,/home/vpopescu/projects/ASVspoof/results/combo_ALMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALMNO/final_model.keras,,0.962929
ALMO,/home/vpopescu/projects/ASVspoof/results/combo_ALMO,0.954919,/home/vpopescu/projects/ASVspoof/results/combo_ALMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALMO/final_model.keras,,0.954919
ALN,/home/vpopescu/projects/ASVspoof/results/combo_ALN,0.824706,/home/vpopescu/projects/ASVspoof/results/combo_ALN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALN/final_model.keras,,0.824706
ALNO,/home/vpopescu/projects/ASVspoof/results/combo_ALNO,0.81734,/home/vpopescu/projects/ASVspoof/results/combo_ALNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALNO/final_model.keras,,0.81734
ALO,/home/vpopescu/projects/ASVspoof/results/combo_ALO,0.829094,/home/vpopescu/projects/ASVspoof/results/combo_ALO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALO/final_model.keras,,0.829094
AM,/home/vpopescu/projects/ASVspoof/results/combo_AM,0.963734,/home/vpopescu/projects/ASVspoof/results/combo_AM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AM/final_model.keras,,0.963734
AMN,/home/vpopescu/projects/ASVspoof/results/combo_AMN,0.95673,/home/vpopescu/projects/ASVspoof/results/combo_AMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AMN/final_model.keras,,0.95673
AMNO,/home/vpopescu/projects/ASVspoof/results/combo_AMNO,0.962607,/home/vpopescu/projects/ASVspoof/results/combo_AMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AMNO/final_model.keras,,0.962607
AMO,/home/vpopescu/projects/ASVspoof/results/combo_AMO,0.963492,/home/vpopescu/projects/ASVspoof/results/combo_AMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AMO/final_model.keras,,0.963492
AN,/home/vpopescu/projects/ASVspoof/results/combo_AN,0.825994,/home/vpopescu/projects/ASVspoof/results/combo_AN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AN/final_model.keras,,0.825994
